21D0	'Acqua', 'Carro dell'acqua' (Ripa)
49L6451	tavoletta d'argilla, tavoletta di pietra, lastra di pietra, lapide
49L645	tavolette per scrittura
41A711	tavolo
41C38	tavolo apparecchiato come natura morta
48C5152	tavolozza
41C331	tazza e piattino
48A721	teatro (costruzione)
48C85	teatro, rappresentazione teatrale
48C1641	telamoni ~ architettura
32A11	temperamento collerico
32A13	temperamento flemmatico
32A14	temperamento melanconico
26C3	tempesta
26C32	tempesta sul mare
12B61	tempio, santuario ~ religioni non cristiani
12F61	tempio, santuario, ecc. ~ religione romana
23	tempo
41A422	tendaggi e tessuti
25	terra, mondo come corpo celeste
25H18	terre coltivate
25HH18	terre coltivate - HH - paesaggi ideali
73D4113	terza caduta ~ Cristo trasporta la croce
11Q73113	terza parte della messa, 'Post communio'
31F11	teschio come simbolo della Morte
41A423	tessuti cerimoniali
31A221	testa (umana)
31AA221	testa (umana) - AA - figura umana femminile
73D3522	testa di Cristo con la corona di spine
48A9842	testa di ariete ~ elementi decorativi
48A9843	testa di leone ~ elementi decorativi
31A2421	testa girata a sinistra
31A242	testa girata di lato
31A244	testa piegata in avanti; capo chino
46C131611	testiera di briglia
25F44	testuggini, tartarughe
41A36	tetto (di casa o edificio)
92H191	thiasos marino, corteo marino di Nettuno
92L191	thiasos, ovvero folla orgiastica di seguaci di Bacco; baccanale senza la presenza di Bacco
41C692	tipi di carne
11Q731	tipi di funzione ~ Chiese Cristiane
51L	tipi di moto
32A	tipi umani
32	tipi umani; genti, popoli e nazionalità
11D32	tipologie particolari del Cristo adulto (senza altri personaggi)
11D35	tipologie specifiche del Cristo crocifisso (non in contesto narrativo)
11F413	tipologie specifiche di Madonna in piedi (a figura intera o a mezza figura), senza altri personaggi
11F423	tipologie specifiche di Madonna seduta o in trono (senza altri)
11F62	tipologie specifiche raffiguranti la Madonna con altri personaggi
92C452	toletta di Venere
42E3	tomba, segni o elementi di identificazione di una tomba
42E31	tomba, sepolcro
42E35	tombe architettoniche, tombe monumentali, monumenti sepolcrali
31A222	torace, busto
31AA222	torace, busto - AA - figura umana femminile
41B32	torcia
47I2111	toro
23O22	toro (segno zodiacale di aprile)
41A361	torre (di casa o edificio)
25I155	torre, torre campanaria, torre dell'orologio ~ decorazioni monumentali
45K142	torri ~ città fortificata
44G33	tortura
73D35	torture di Cristo
41A63	tracciato, schema di un giardino
46C1	traffico di terra
46C15	traffico ferroviario
46C16	traffico su strada o su sentiero con un veicolo a motore
46C2	traffico sull'acqua
46C	traffico, circolazione e trasporti
48C8545	tragedia
24A2	tramonto
46C121	trasportare qualcosa
46C1215	trasportare qualcosa sulla testa o sulle spalle
73D74	trasporto del corpo di Cristo al sepolcro
73D41	trasporto della croce: Cristo trasporta la croce, da solo o con l'aiuto di altri (p.es.: Simone il Cireneo)
45C71	trasporto di infermi, feriti e morti (militare)
25D433	trasporto di petrolio
11F834	trasporto miracoloso della casa di Nazareth a Loreto (miracolo relativo a Maria Vergine)
47I145	trasporto ~ raccolto
41D28	travestimento
49D33	triangolo (~ planimetria, geometria)
43A43	trionfi (allegorici e simbolici)
43A432	trionfi simbolici di singoli personaggi
92L178	trionfo di Bacco; 'Carro di Bacco' (Ripa)
71H1521	trionfo di David: le donne di Israele escono per dare il benvenuto a David, cantando, danzando e suonando timpani e lire; David porta la testa di Golia
92B178	trionfo di Giove; 'Carro di Giove' (Ripa)
92C278	trionfo di Minerva; 'Carro di Minerva' (Ripa)
92C478	trionfo di Venere; 'Carro di Venere' (Ripa)
45A31	trionfo militare
41A7111	tripode
31A4561	tritone
92H391	tritone(i)
49C11	trivio (personificazioni della Grammatica, Dialectica e Rhetorica)
43C11311	trofei di caccia
45L311	trofeo ~ battaglia o guerra
48A9874	trofeo, ovvero sistemazione decorativa di motivi simbolici o rappresentativi
42B3	trovatello/a (e adozione)
11Q71428	turibolo
43C13	uccellagione, uccellatore
25F3	uccelli
25F36	uccelli acquatici
25F32	uccelli canori
34B23	uccelli domestici tenuti fuori casa
25F35	uccelli ornamentali
25F33	uccelli rapaci
44B121	udienza; sovrano che dà udienza
45D312	ufficiale nell'esercito
94H	ultimi mesi dell'assedio e caduta di Troia
94G23	ultimo combattimento e morte di Ettore
57A64	umiltà; 'Humiltà' (Ripa)
73B62	un angelo appare a Giuseppe in sogno esortandolo a fuggire in Egitto
73F2143	un angelo appare a Pietro invitandolo ad alzarsi ~arresto di Pietro
71A611	un angelo scaccia Adamo ed Eva dal paradiso con una spada (fiammeggiante)
71M53	un angelo sveglia Elia; di norma una focaccia e una brocca d'acqua sono raffigurati vicino alla testa di Elia
71M84	un carro, dei cavalli di fuoco e un turbine portano Elia in cielo; il mantello di Elia cade a terra (o Elia lo porge ad Eliseo)
73C422	un paralitico disteso sul letto è condotto nella casa in cui Cristo sta predicando (Mt. 9, 1-8; Mc. 2, 1-12; Lc. 5, 17-26)
73C72621	una donna lava i piedi di Cristo con le lacrime e li asciuga con i capelli
73F2122	una folla di infermi guariti da Pietro e dagli altri discepoli (At. 5, 12-16)
31A2622	una gamba piegata portata in avanti o indietro, con il ginocchio o il piede poggiato su un elemento rialzato
25F24	ungulati
25FF241	unicorno
45C21	uniformi (militari)
49B4	università
73D662	uno o entrambi i ladroni in croce
41D91	uomo (che si mostra) svestito, seminudo
31D14	uomo adulto
34F12	uomo che uccide un animale
36	uomo e ambiente
34	uomo e animale
34F	uomo e animale (selvatico)
31	uomo in senso biologico generale
42E34	urna
41A8	uso della casa
55C	uso della proprietà
41C27	utensili da cucina
47I4223	uva
25H12	valletta, valle
25D	varietà di rocce; minerali e metalli; terreno
48A9854	vaso ~ elementi decorativi
48AA9854	vaso ~ elementi decorativi - AA - stilizzata
41C326	vaso, caraffa (usati come recipienti per bere)
41C343	vassoio
31D17	vecchia
31D16	vecchio, anziano
42D42	vedova
25I1	veduta di città in generale; 'veduta'
25II1	veduta di città in generale; 'veduta' - II - città ideale
25I	veduta di città; paesaggio con edifici costruiti per opera dell'uomo
25II	veduta di città; paesaggio con edifici costruiti per opera dell'uomo - II - paesaggio ideale
45E3	veicoli militari
45E31	veicoli militari antichi: cocchio, carro da guerra, ecc.
46C142	veicolo a due ruote a trazione animale
46C144	veicolo a quattro ruote a trazione animale, p.es. carrozza
46C24	veliero, barca a vela
41D2211	velo
41D13	vendita, diffusione di moda
73F16	vengono scelti sette diaconi, tra cui Stefano, che può figurare in ginocchio davanti a Pietro ~ comunità dei discepoli (At. 6, 1-6)
41D262	ventaglio
26C	venti
41C65	verdura e frutta; natura morta di verdura e frutta
23O33	vergine (segno zodiacale di agosto)
31A7211	verginità
52A6	verità; 'Verità' (Ripa)
11Q7146	vesti liturgiche, paramenti
41A21	vestibolo, ingresso
31A55	vestire e spogliare
41D211	vestito, abito lungo
11Q71311	vetrata, p.es. rosone
25I141	via
73F223	viaggi missionari di Paolo
46C5	viaggiare; turismo
73E34	viaggio ad Emmaus: due discepoli (Cleofa e Pietro) sulla strada
41A162	villa
25I2	villaggio, paese
45I6	vincitore (dopo la battaglia)
41C711	vino ~ bevande alcoliche
48C7312	viola, violoncello; contrabbasso
48C7311	violino, violetta
57A6	virtuosità; 'Amor di Virtù', Attione virtuosa', 'Guida sicura de' veri honori', 'Virtù', 'Virtù insuperabile' (Ripa)
62	visioni del futuro
71O93	visioni di Ezechiele
11V5	visitare gli infermi, 'aeger curatur' ~ una delle (sette) opere di misericordia
41A337	vista attraverso una finestra
41A3372	vista attraverso una finestra dall'interno
31A31	vista, guardare (uno dei cinque sensi)
25I22	vista, panorama, profilo di un paese
25I12	vista, panorama, profilo di una città
12E1	visualizzazione di concetti e idee ~ religione greca
12H1	visualizzazioni di concetti e idee ~ induismo, buddismo, jainismo
58B2	vita
31E5	vita contro morte
46A	vita della comunità
49BB442	vita dello studente - BB - studentessa
73F2	vita e atti degli apostoli (I parte)
73F3	vita e atti degli apostoli (II parte)
73F	vita e atti degli apostoli di Cristo; epistole
73F25	vita e atti di Andrea
73F27	vita e atti di Bartolomeo (Natanaele)
73F26	vita e atti di Filippo
73F24	vita e atti di Giacomo Maggiore (il Vecchio)
73F23	vita e atti di Giovanni Evangelista
73F22	vita e atti di Paolo (Saulo)
73F21	vita e atti di Pietro
73F35	vita e atti di Stefano (At. 6, 8 - 8, 2)
11Q3	vita e pratica ascetica
42B7	vita familiare
11P3153	vita in convento
73C	vita pubblica di Cristo: dal battesimo alla Passione
73B7	vita quotidiana a Nazaret
46	vita sociale ed economica, trasporti e comunicazioni
58B	vitalità e mortalità
58B1	vitalità, energia vitale, forza vitale
47I422	vite
47I2113	vitello
48AA98312	viticci ~ elementi decorativi - AA - stilizzata
47I42	viticoltura; vendemmia
54F2	vittoria
45A3	vittoria ~ conflitto armato
57AA6	viziosità, cattiveria
73C711	vocazione degli apostoli
73C7115	vocazione di Matteo (Levi), l'esattore delle tasse (in genere figurano dei soldi sparsi sul tavolo e alcune persone che pagano le tasse (Mt. 9, 9; Mc. 2, 14; Lc. 5, 27-28)
53	volontà, volizione
48C1622	volta ~ architettura
31A2211	volto
48A9861	voluta, ornamento nastriforme ~ elementi decorativi
25C1	vulcanismo
25C12	vulcano
23O	zodiaco; i dodici segni zodiacali raffigurati insieme
41C334	zuccheriera
